매점에서 주로 구매하는 제품은 무엇인가요?,주로 구매하는 제품의 이름은 무엇인가요?,학생들이 매점을 이용하는 이유는 무엇이라고 생각하나요?,"매점에서 판매되는 상품의 가격은 어떻게 결정되며, 가격 변화가 매출에 미치는 영향은 무엇이라고 생각하나요? ","매점 사용과 경제 활동 간의 연관성이 있다면, 어떠한 부분에서 연관성이 있다고 볼 수 있나요? (예: 소비자인 학생과 공급자인 사장님 간의 교류)"
매점에 잘 들르지 않음,데미소다,학교 내에 있는 유일한 매장이기 때문에,대충 시장가에서 20%정도 올려서 파는듯 합니다.,몰?루
음료수,웰치스 탄산 음료수,"배고파서, 목이 말라서, 배를 채우기 위해서 ","상품의 가격은 원가, 경쟁사 가격, 수요와 공급, 매점의 목표 마진 등을 고려해 결정. 
가격 변화는 매출에 크게 영향을 미치며, 가격 인상 시 매출이 줄어들 수 있고, 가격 인하 시 매출이 증가할 수 있다. ","소비자인 학생들이 상품을 구매하면서 경제 활동에 참여하고, 공급자인 사장님은 매출을 통해 수익을 얻는 과정에서 나타남. "
과자,그그 베트남 감자칩,맛있는게 많아서,기존 가격보다 2배 더 받는 거 같다,가격을 좀 착하게 해주세요
"젤리, 음료수, 아이스크림","초코퍼지,설레임,웰치스,빵부장",군것질을 할려고,"가게와 학교가 정할 것 같고, 가격이 변화한다고 매출이 변화할 것 같지는 않다","소비자인 학생, 공급자인 매점 사장님"
음료수,아이스플러스,배고파서,사장님의 이기심과 욕심 때문이라고 생각합니다. 왜냐하면 사장님은 매점이라는 가게(기업)에,소비하는 주체인 우리는 최대의 효용을 추구한다.
핫바,핫바,츨출해서,사장님의 이기심,소비하는 주체인 우리는 최대의 효용을 추구한다.
"과자, ",도리토스,후식으로 먹고싶어서,사장님의 이기심,소비하는 주체인 우리는 최대의 효용을 추구한다.
사탕,엠엔엠,단게땡겨서,사장님의 이기심,소비하는 주체인 우리는 최대의 효용을 추구한다.
음료수,그린티,심심해서(나는 그럼),"시장 가격, 오르면 조금은 매출이 떨어지겠지",사장님은 제품을 팔고 우리는 그걸 사는 거 경제 활동이지?
음료수,그린티요,배가 고파서 가거나 점심을 대신하려고,모르겠습니다,경제 개념
음료수,데미소다,수업하다가 출출해서,가격 높으면 학생들이 비싸서 안 살것같다,소비자인 학생과 맞는 가격인지 비교
음료수,보성 아이스티,"학생들이 매점을 이용하는 이유는 여러 가지가 있는데, 주된 이유는 간편하게 맛있는 간식을 즐길 수 있기 때문입니다. 특히 수업 시간 사이의 짧은 쉬는 시간이나 점심시간에 간단하고 빠르게 배를 채울 수 있는 매점은 매우 유용합니다. 또한, 매점은 친구들과 함께 어울리며 사교 활동을 할 수 있는 장소이기도 합니다. 새로운 간식이나 음료를 시도해보는 재미도 있고, 다른 학년이나 반 친구들과 자연스럽게 만나 소통할 수 있는 기회가 되기도 합니다. 이렇게 매점은 단순히 음식물을 제공하는 곳을 넘어, 학생들에게 중요한 사교 공간으로 작용하고 있다고 생각합니다.","매점에서 판매되는 상품의 가격은 주로 원가, 학교 운영 방침, 경쟁 매장 가격, 학생들의 경제적 수준 등을 고려해 결정됩니다. 가격 변화가 매출에 미치는 영향은 매우 중요한데, 가격을 올리면 매출이 줄어들 수 있고, 반대로 가격을 내리면 매출이 증가할 가능성이 높습니다. 적절한 가격 설정은 학생들이 부담 없이 구매할 수 있도록 하면서도 매점의 수익을 유지할 수 있는 균형을 찾는 것이 중요하다고 생각합니다.","매점 사용과 경제 활동 간의 연관성은 여러 가지 측면에서 나타납니다. 우선, 소비자인 학생과 공급자인 사장님 간의 교류는 기본적인 경제 활동을 보여줍니다. 학생들은 용돈이나 알바비 등으로 매점에서 상품을 구매하면서 소비자로서의 역할을 하게 되고, 이를 통해 기본적인 경제 개념을 체험하게 됩니다. 사장님은 학생들의 수요에 맞추어 상품을 공급하고, 가격 설정 및 재고 관리 등을 통해 운영을 이어갑니다. 이러한 과정에서 학생들은 경제의 기본 원리인 수요와 공급, 가격 결정, 자원의 한정성 등을 실생활에서 경험하게 된다고 볼 수 있습니다."
"음료수, 과자",꽃개랑,배고픔을 해소하기 위해서,상품의 가격은 팔리는 수만큼 올라가고 가격 변화는 우리의 돈에 영향을 미칩니다,학생들이 선호하는 상품이나 서비스에 대한 수요는 매점의 재고 관리와 상품 구성을 결정하는 데 중요한 역할을 합니다.
음료수,ice plus,"배가 고파서, 군것질을 하려고","시중 편의점과 같거나 조금 더 높은 가격을 책정, 가격이 높아지더라도 학생의 수요가 크게 감소하지는 않을 것 같음",독점시장
음료수,웰치스,학생들이 배고플 때 쉬는 시간에 빠르게 내려갈 수 있고 저렴하기 때문이다,학생들을 대상으로 팔다보니 원가보다 조금 더 싸게 팔고 매출양에 맞춰 가격을 조정한다. 하지만 가격변화가 급격하게 키지면 매출에 영향을 미친다.,"학생들이 매정을 이용하고 지불한 돈은 매점 운영비, 인건비, 물품 구매 등에 사용이 된다 . 또한 학생들의 물품구매 데이터를 통해 마케팅 전략을 세울 수 있다"
음료수,green tea,배고파서,가격이 더 저렴하다면 매출이 더 올라갈 것으로 보입니다.,매점의 매출 데이터를 통해 소비자의 소비 패턴을 분석
"음료수, 과자",그린티,나이스해서,쌉뽕하다,가격 상승
"음료수, 피자빵",보성 아이스티,"학생들이 매점을 이용하는 이유는 편리성과 독점이라고 생각을 합니다. 왜냐하면 학교에서 가장 가까이 있는 매장이 매점이기 때문이고, 학교 밖에 못나가기 때문에 매점을 쓸 수 밖에 없기 때문에 우리 학교 학생들이 매점을 이용하는 이유라고 생각을 합니다.","매점에서 판매되는 상품의 가격은 수요와 공급에 따라 결정이 될 것이라 예상이 됩니다. 왜냐하면 수요가 늘면 늘수록 시장의 원리에 따라 가격 또한 올라가게 되고, 이렇게 해서 올라가다가 보면 또 수요가 줄 것이기 때문에 가격을 내리게 되는 결정을 할 것이라 생각이 됩니다. 또 예전에 핫바처럼 공급이 별로 안되어서 가격이 올랐던 적이 있는데 공급 또한 이러한 가격에 영향을 미칠 것이라 생각이 됩니다. 또 아까 말했다시피 가격이 올라가면 수요가 떨어지고, 반대로 가격이 떨어지면 수요가 늘어나 매출은 일정하게 유지 될 것이라 생각이 됩니다.","매점 사용과 경제 활동 간의 연관성은 여러 측면에서 나타납니다. 학생들이 매점에서 물건을 구매하면서 소비자로서 경제 활동에 참여하고, 매점 주인은 그에 따라 매출을 올리며 수익을 창출합니다. 이 과정에서 공급자인 매점 주인은 상품의 공급과 재고 관리, 가격 설정 등의 경제적 결정을 내리고, 이를 통해 지역 경제의 활성화에 기여합니다. 또한, 매점에서 일하는 직원들은 고용을 통해 소득을 얻고, 이는 다시 지역 내 다른 상점과 서비스에 소비됨으로써 경제 순환이 이루어질 것이기 때문에 이러한 측면에서 연관성이 있다고 생각이 됩니다."
"젤리, 음료수","아쿠아리어스, 츄파춥스 샤워 바이츠",원인은 학생들이 출출하거나 배고플 때 마땅히 음식이 살 곳이 매점밖에 없기 때문,물가 그리고 세금이 가장 큰 영향을 미친다고 생각한다. 예를 들어 전에는 그린티의 가격이 7천원 이었으며 8천원으로 올랐다고 만동까지 올라가게 되었는데 가격 상승의 공통점에는 세금이 올라갈 때 함께 가격이 올라갔다는 것이다.,경제 활동이란 거래가 가장 활발하게 일어나는 곳 모두를 경제 활동이라고 생각한다. 소비자인 학생은 즉 가계 역할이고 수요를 담당하고 판매자인 매점은 기업 역할을 하며 공급을 담당하고 있다. 이로서 우리는 화폐를 통해 서로의 이기심을 위해 거래를 한다.
음료수,웰치스 탄산 음료수,"배고파서, 목이 말라서, 배를 채우기 위해서 ","""상품의 가격은 원가, 경쟁사 가격, 수요와 공급, 매점의 목표 마진 등을 고려해 결정. 
가격 변화는 매출에 크게 영향을 미치며, 가격 인상 시 매출이 줄어들 수 있고, 가격 인하 시 매출이 증가할 수 있다. ""","소비자인 학생들이 상품을 구매하면서 경제 활동에 참여하고, 공급자인 사장님은 매출을 통해 수익을 얻는 과정에서 나타남. "
음료수,ice plus,"배가 고파서, 군것질을 하려고","시중 편의점과 같거나 조금 더 높은 가격을 책정, 가격이 높아지더라도 학생의 수요가 크게 감소하지는 않을 것 같음",독점시장
"젤리, 음료수, 아이스크림","초코퍼지,설레임,웰치스,빵부장",군것질을 할려고,"가게와 학교가 정할 것 같고, 가격이 변화한다고 매출이 변화할 것 같지는 않다","소비자인 학생, 공급자인 매점 사장님"
음료수,데미소다,수업하다가 출출해서,가격 높으면 학생들이 비싸서 안 살 것 같다,소비자인 학생과 맞는 가격인지 비교
음료수,밀크티,학생들이 출출할 때 이용할 수 있는 것이 매점 하나 밖에 없어서,"물가가 오르거나 내릴 때 매점 상품의 가격도 함께 바뀐다. (사실 오르기만 함) 가격이 오른다고 매출이 오르는 것이 아니라, 이윤을 얼마나 챙기느냐에 따라 매출이 변하기 때문에 그 부분은 알 수 없다.",매점은 독과점 형태로 학생들이 이용할 수 있는 것이 매점 뿐이라 그곳에서 나쁜 마음을 먹고 가격을 올리면 그것을 해결할 방법이 없다.
음료수,"밀크티, ice+","학생들이 출출할 때 이용할 수 있는 것이 매점 하나 밖에 없고 우리 학교 학생들이 매점을 이용하는 원인은 독점이라고 생각을 합니다. 왜냐하면 우리 학교엔 음식을 파는 곳이라고는 급식실과 매점인데, 급식실에서 밥을 먹어도 출출하면 갈 곳이 매점 밖에 없기 때문입니다. 또한 음료수 가격은 각종 편의점의 가격과 비슷하기에 학생들이 불편함 없이 사용한다고 생각을 합니다. 마지막 원인은 학교에서 주는 매점 상품권도 한 몫한다고 생각을 합니다. 학교에서는 돈을 직접적으로 주는 대신에 매점 상품권을 주는데 이 때문에 학생들이 매점을 사용한다고 생각이 됩니다.","매점에서 판매되는 상품의 가격은 당연히 수요량, 소비량 등에 요소에 결정이 될 것 같습니다. 많이 팔리면 가격을 올리고 많이 안 팔리면 가격을 내리는 방식으로 결정이 되는 방식일 것 같습니다. 하지만 예를 들어 그린티과 같은 음료수가 현재 만동인데 너무 잘 팔려서 천동만 올려도, 많은 학생들이 부담이 될 것 같아 많이 안 사게 되고, 부담이 많이 되어 결국 매출이 떨어지는  결과가 나올 것이라 생각이 됩니다.","매점 사용과 경제 활동 간의 연관성은 여러 부분에서 연관성이 있다고 생각이 됩니다. 우선, 학생들은 매점에서 필요한 상품을 구매하고, 사장님은 이를 통해 수익을 얻으므로, 소비자인 학생과 공급자인 사장님 간의 교류가 이루어지는 경제활동이 있다고 생각이 됩니다. 또한 수요와 공급의 원리가 적용이 되어 학생들이 많이 찾는 상품은 더 많이 공급되고, 인기가 없는 상품은 공급이 줄어드는 매커니즘이 작용을 하기에, 이러한 요소들로 인해 매점 사용과 경제 활동은 밀접하게 연관되어 있다고 생각이 됩니다."
"음료수, 과자","아쿠아리어스, 감자칩","매점 사용과 경제 활동 간의 연관성은 여러 부분에서 연관성이 있다고 생각이 됩니다. 우선, 학생들은 매점에서 필요한 상품을 구매하고, 사장님은 이를 통해 수익을 얻으므로, 소비자인 학생과 공급자인 사장님 간의 교류가 이루어지는 경제활동이 있다고 생각이 됩니다. 또한 수요와 공급의 원리가 적용이 되어 학생들이 많이 찾는 상품은 더 많이 공급되고, 인기가 없는 상품은 공급이 줄어드는 매커니즘이 작용을 하기에, 이러한 요소들로 인해 매점 사용과 경제 활동은 밀접하게 연관되어 있다고 생각이 됩니다.","매점에서 판매되는 상품의 가격은 수요와 공급에 따라 결정이 될 것이라 예상이 됩니다. 왜냐하면 수요가 늘면 늘수록 시장의 원리에 따라 가격 또한 올라가게 되고, 이렇게 해서 올라가다가 보면 또 수요가 줄 것이기 때문에 가격을 내리게 되는 결정을 할 것이라 생각이 됩니다. 또 예전에 핫바처럼 공급이 별로 안되어서 가격이 올랐던 적이 있는데 공급 또한 이러한 가격에 영향을 미칠 것이라 생각이 됩니다. 또 아까 말했다시피 가격이 올라가면 수요가 떨어지고, 반대로 가격이 떨어지면 수요가 늘어나 매출은 일정하게 유지 될 것이라 생각이 됩니다.","매점 사용과 경제 활동 간의 연관성은 여러 측면에서 나타납니다. 학생들이 매점에서 물건을 구매하면서 소비자로서 경제 활동에 참여하고, 매점 주인은 그에 따라 매출을 올리며 수익을 창출합니다. 이 과정에서 공급자인 매점 주인은 상품의 공급과 재고 관리, 가격 설정 등의 경제적 결정을 내리고, 이를 통해 지역 경제의 활성화에 기여합니다. 또한, 매점에서 일하는 직원들은 고용을 통해 소득을 얻고, 이는 다시 지역 내 다른 상점과 서비스에 소비됨으로써 경제 순환이 이루어질 것이기 때문에 이러한 측면에서 연관성이 있다고 생각이 됩니다."
"과자, 사탕",꽃개랑,배고픔을 해소하기 위해서,"""""""상품의 가격은 원가, 경쟁사 가격, 수요와 공급, 매점의 목표 마진 등을 고려해 결정. 
가격 변화는 매출에 크게 영향을 미치며, 가격 인상 시 매출이 줄어들 수 있고, 가격 인하 시 매출이 증가할 수 있다. """"""","매점 사용과 경제 활동 간의 연관성은 여러 가지 측면에서 나타납니다. 우선, 소비자인 학생과 공급자인 사장님 간의 교류는 기본적인 경제 활동을 보여줍니다. 학생들은 용돈이나 알바비 등으로 매점에서 상품을 구매하면서 소비자로서의 역할을 하게 되고, 이를 통해 기본적인 경제 개념을 체험하게 됩니다. 사장님은 학생들의 수요에 맞추어 상품을 공급하고, 가격 설정 및 재고 관리 등을 통해 운영을 이어갑니다. 이러한 과정에서 학생들은 경제의 기본 원리인 수요와 공급, 가격 결정, 자원의 한정성 등을 실생활에서 경험하게 된다고 볼 수 있습니다."
"젤리, 음료수, 사탕",엠엔엠,수업하다가 출출해서,사장님의 이기심,소비하는 주체인 우리는 최대의 효용을 추구한다.
"음료수, 과자",보성 아이스티,후식으로 먹고싶어서,물가 그리고 세금이 가장 큰 영향을 미친다고 생각한다. 예를 들어 전에는 그린티의 가격이 7천원 이었으며 8천원으로 올랐다고 만동까지 올라가게 되었는데 가격 상승의 공통점에는 세금이 올라갈 때 함께 가격이 올라갔다는 것이다.,"소비자인 학생들이 상품을 구매하면서 경제 활동에 참여하고, 공급자인 사장님은 매출을 통해 수익을 얻는 과정에서 나타남. "
"음료수, 과자",데미소다,"배가 고파서, 군것질을 하려고","매점에서 판매되는 상품의 가격은 주로 원가, 학교 운영 방침, 경쟁 매장 가격, 학생들의 경제적 수준 등을 고려해 결정됩니다. 가격 변화가 매출에 미치는 영향은 매우 중요한데, 가격을 올리면 매출이 줄어들 수 있고, 반대로 가격을 내리면 매출이 증가할 가능성이 높습니다. 적절한 가격 설정은 학생들이 부담 없이 구매할 수 있도록 하면서도 매점의 수익을 유지할 수 있는 균형을 찾는 것이 중요하다고 생각합니다.",가격 상승과 물가 상승이 같은 시기에 일어남
"젤리, 음료수, 과자, 사탕","초코퍼지, 설레임, 웰치스, 빵부장, 아쿠아리어스","배고파서, 목이 말라서, 배를 채우기 위해서 ",사장님의 이기심,독점시장
"젤리, 음료수","아쿠아리어스, 츄파춥스 샤워 바이츠",배가 고파서 가거나 점심을 대신하려고,학생들을 대상으로 팔다보니 원가보다 조금 더 싸게 팔고 매출양에 맞춰 가격을 조정한다. 하지만 가격변화가 급격하게 키지면 매출에 영향을 미친다.,"매점 사용과 경제 활동 간의 연관성은 여러 측면에서 나타납니다. 학생들이 매점에서 물건을 구매하면서 소비자로서 경제 활동에 참여하고, 매점 주인은 그에 따라 매출을 올리며 수익을 창출합니다. "
"과자, 사탕",엠엔엠,단게땡겨서,"매점에서 판매되는 상품의 가격은 수요와 공급에 따라 결정이 될 것이라 예상이 됩니다. 왜냐하면 수요가 늘면 늘수록 시장의 원리에 따라 가격 또한 올라가게 되고, 이렇게 해서 올라가다가 보면 또 수요가 줄 것이기 때문에 가격을 내리게 되는 결정을 할 것이라 생각이 됩니다. ","소비자인 학생, 공급자인 매점 사장님"
"음료수, 과자",green tea,배고픔을 해소하기 위해서,수요와 공급,"소비자인 학생들이 상품을 구매하면서 경제 활동에 참여하고, 공급자인 사장님은 매출을 통해 수익을 얻는 과정에서 나타남. "
음료수,데미소다 사과맛,돈쓸데가 학교에서 거기밖에 없음,그 상품의 가격에서 이익이 되게끔 가격을 조정하는것이라고 생각함,실제 돈을 사용하는 행위
음료수,"ice + , green tea , aqauafina","우리 학교 학생들이 매점을 이용하는 원인은 독점이라고 생각을 합니다. 왜냐하면 우리 학교엔 음식을 파는 곳이라고는 급식실과 매점인데, 급식실에서 밥을 먹어도 출출하면 갈 곳이 매점 밖에 없기 때문입니다. 또한 음료수 가격은 각종 편의점의 가격과 비슷하기에 학생들이 불편함 없이 사용한다고 생각을 합니다. ",시세가 올라감에 따라 가격도 같이 올라가고 가격이 올라가면 당연히 매출은 늘어나겠지만 예전의 가격을 그리워 하는 학생들도 있을 것이라 생각한다.,매점은 독과점 형태로 학생들이 이용할 수 있는 것이 매점 뿐이라 그곳에서 나쁜 마음을 먹고 가격을 올리면 그것을 해결할 방법이 없다.
음료수,보성 아이스티,학생들이 매점에서 가는 이유가 독점이라고 생각을 합니다. 왜냐하면 학교 안에서 물건을 사거나 음식을 살 수 있는 곳이 매점 밖에 없기 때문입니다.,"매점에서 판매되는 상품은 수요와 공급에 따라 결정이 될 것이라 생각이 됩니다. 수요가 늘면 가격이 올라가고 수요가 줄으면 가격이 내려가는 방식으로 책정이 될 것이고, 반대로 공급으로는 공급이 많아지면 가격이 낮아지고 공급이 적어지면 늘어나는 매커니즘을 가질 것이라 생각이 됩니다. 따라서 한쪽에 쏠려도 다른 쪽이 부족해지기 때문에 전체적으로 봤을 때는 가격 변화가 없을 것이라 생각이 됩니다.","매점 사용과 경제 활동 간의 연관성이 있다면, 사고 파는 것에 연관성이 있다고 생각이 됩니다. 매점에서 물건을 사는 것이 결국에는 판매하는 것에 대해서 돈을 공급해주기 때문에 경제적으로 활동에 연관이 되어 있을 것이라 생각이 됩니다."
"음료수, 과자, 커피",그린티,"간식, 배고픔 방지",가격이 점점 비싸지는거 같아요,가격대비 합리적인 소비인지와 아닌지의 대한 고민
"젤리, 음료수, 과자, 사탕",아쿠아리어스,"수업 시간 사이에 짧은 쉬는 시간 동안 간단하게 먹을 것을 구매할 수 있는 곳이며, 매점은 학교 내에 위치해 있어 이동 시간이 적고, 빠르게 이용할 수 있습니다","원가의 가격, 운영비용 등","수요와 공급, 가격 탄력성, 소비습관형성, 생산물시장, 생산요소시장, 판매자의 이기심"
"음료수, 과자, 사탕",아이스플러스,음식물을 구매할 수 있는 곳이 유일하게 매점밖에 없어서,사회의 경제 상황에 따라 변동이 일어난다고 생각함,경제 시장이 가장 활발하게 일어나는 곳이며 학교에서 유일하게 음식물을 살 수 있는 독점시장
"음료수, 과자","칙촉, 웰치스",간식 먹고 집중력 올리기 위해서,"시중에 파는 가격과 비슷하게 결정, 가격이 올라가면 수요도 떨어질 수 있는데 학교에서 구매할 수 있는 방법이 매점 뿐이기에 수요가 떨어지지 않을 가능성이 클 것 같다.","소비자, 즉 학생들이 원하는 간식의 종류 혹은 매점에 도움이 될만한 내용을 이야기하면 공급자인 사장님은 학생들의 의견을 수용해 매점을 더욱 좋은 시설로 만들어주실 것이다. "
"젤리, 사탕","마이쮸, 짱셔요",배고픔/허기짐 달래기 위함,"가격 결정 - 다른 공급체에서 구매한 가격과 최대한 비슷하지만 수익을 창출할 수 있을 만한 정도의 금액을 덧붙임
가격 변화가 매출에 미치는 영향 - 학교 안에서 간식을 구매할 수 있는 공급처는 매점밖에 없기 때문에 '가격이 상승하면 수요가 감소한다'라는 말은 학교라는 공간 안에서는 성립이 되지 않는다고 생각한다",공급자(사장님)은 소비자(학생)에게 더욱 좋은 환경 마련하고 자유롭게 구매할 수 있도록 소비자의 의견을 적극 수용 & 반영
보통 물을 삽니다,DASANI,수업으로 쌓인 피로감과 스트레스를 해소하기 위한 당을 얻기 위해,"경제적인 관점에서 분석 했을때, 우리 학교에서 물건들을 구매 할수 있는 곳은 매점 밖에 없다. 매점입장에서는 경쟁사가 존재 하지 않기 때문에 가격을 본인들 기준으로 결정할 수 있다. 따라서 매점의 가격은 시장가격+ 가게 운영자가 원하는 가격을 추가 하여 결정 한다고 생각한다. 당연하게도 매점의 가격이 변화 할수록 매출을 달라질 수 밖에 없다. 하지만 이역시 경제적인 관점에서 분석을 해본다면, 가격이 높아짐에 따라 소비자는 줄어들수 있으므로 확실하게 결정하기 어렵다라고 결론을 내릴수 있다 ","소비자인 선생님, 학생 과 공급자 사장님 그리고 물건을 가져다주는 해당 회사 까지 연관성이 있다고 볼 수 있다. "
아이스크림,바밤바,배고파서,비싸다,없다
"젤리, 음료수",그린티,급식으로 부족한 배를 채우기 위해,상품은 매점이 정하고 가격 변화가 미치는 영향은 크게 없다고 생각한다.,학생과 선생님들의 소비 활동으로 사장님의 이익이 생긴다.
음료수,그린티,배고파서,수요가 많고 매점이 독점하고 있기 때문,가격의 변화와 매점의 독점
"음료수, 과자",아이스 플러스,그거 하나밖에 없기때문,매점이 학교에 하나밖에 없기때문에 매점 사장님 맘대로 정하는 것이라고 생각한다. 가격에 오르면 매출은 오르겠지만 터무니없이 오른다면 발발심으로 매출이 오히려 하락할 것이다.,경제 관념 키우기 가능
"음료수, 과자","Ice +, 오예스","급식 시간 전 허기를 달래기 위해
당 충전을 위해",매점에서 들여오는 물건들의 가격들이 매점에서 파는 가격을 결정 지읗 것 같습니다.,"친구한테 돈을 잠시 빌려 매점에서 음료 및 간식을 사는 것으로, 은행과 시민의 교류(?)"
"음료수, 아이스크림",쵸코퍼지,배가 너무너무 고파서요,매점을 운영하는 사람에게도 이익이 생기고 학생들에게도 부담되지 않는 가격으로 결정해야된다고 생각합니다~ 가격이 바뀌면 학생들에게 부담이 되거나 잦은 가격 변화는 학생들 사이에 혼란을 줄 수 있을 것입니당,어린 학생들도 매점을 통해 경제활동의 첫 발을 내딛을 수 있지 않을까 생각합니다…사실 제 지능이 여기까진 잘 못따라가겠어요!! 🙇‍♀️🙇‍♀️
과자,칙촉,배고파서..,솔직히 저는 낱게로 된 과자를 주로 구매하는데 가격 부담이 덜 합니다. 따라서 학생들을 상대로 하는 사업이니만큼 저렴할수록 매출이 올라갈 것이라 생각합니다.,도매와 소매의 가격 차이
